MidDate,Firm,Brand,@TPP,LIB FP,ALP FP,GRN FP,ONP FP,NAT FP,UAP FP,OTH FP,GLApp,GLDis,Comments
2000-11-08,Westpoll,,55,35,48,5,3,1,#N/A,9,,,#date estimated
2000-11-15,Newspoll,,#N/A,34,41,5,5,8,#N/A,7,39,47,
2000-12-01,F2F Morgan,,56,32,44,7.5,4,1.5,#N/A,11,,,
2001-01-16,Westpoll,,48,45.23809524,40.47619048,2.380952381,4.761904762,1.19047619,#N/A,5.952380952,,,
2001-02-01,Westpoll,,#N/A,37.93103448,45.97701149,4.597701149,3.448275862,2.298850575,#N/A,5.747126437,,,
2001-02-08,Newspoll,,49.5,35,39,5,7,3,#N/A,11,40,51,
2001-04-01,F2F Morgan,,63,28,44.5,7.5,8,2,#N/A,10,,,
2001-05-10,Westpoll,,#N/A,26.66666667,48.88888889,4.444444444,6.666666667,1.111111111,#N/A,12.22222222,,,"#date estimated, undecided vote extrapolated"
2001-06-01,F2F Morgan,,60.5,29,44.5,8,7,2,#N/A,9.5,,,
2001-07-03,Westpoll,,#N/A,32.22222222,44.44444444,4.444444444,5.555555556,1.111111111,0,12.22222222,,,#undecided vote extrapolated
2001-08-01,F2F Morgan,,59,32,43,7.5,6,2,#N/A,9.5,,,#NAT fp vote extrapolated
2001-08-10,Westpoll,,#N/A,30,47.77777778,5.555555556,5.555555556,2.222222222,#N/A,8.888888889,,,#date estimated
2001-08-15,Newspoll,,#N/A,37,35,9,6,5,#N/A,8,51,23,
2001-10-01,F2F Morgan,,52,35,41.5,6.5,6,2,#N/A,9,,,#NAT fp vote extrapolated
2001-11-15,Newspoll,,#N/A,41,35,9,5,3,#N/A,7,50,34,
2001-12-01,F2F Morgan,,51.5,36.5,40,8,4,2,#N/A,9.5,,,#NAT fp vote extrapolated
2002-02-01,F2F Morgan,,50.5,38,38.5,8.5,3,2,#N/A,10,,,#NAT fp vote extrapolated
2002-02-15,Newspoll,,#N/A,37,34,6,2,4,#N/A,17,50,31,
2002-03-01,Westpoll,,#N/A,44,37,9,#N/A,2,#N/A,8,,,
2002-04-01,F2F Morgan,,53.5,37.5,39,10.5,3,2,#N/A,8,,,#NAT fp vote extrapolated
2002-05-12,Westpoll,,#N/A,39,45,7,1,1,#N/A,7,,,
2002-05-15,Newspoll,,#N/A,36,39,6,2,5,#N/A,12,53,26,
2002-06-01,F2F Morgan,,54,35.5,42,7,3.5,2,#N/A,5.5,,,#NAT fp vote extrapolated
2002-06-06,Westpoll,,#N/A,31,40,4,5,2,#N/A,#N/A,,,#NAT fp vote extrapolated
2002-08-01,F2F Morgan,,52.5,37,40,8.5,3,2,#N/A,9.5,,,
2002-08-12,Westpoll,,#N/A,40,44,9,1,2,#N/A,4,,,
2002-08-15,Newspoll,,#N/A,37,37,8,2,3,#N/A,13,55,27,
2002-10-01,F2F Morgan,,54.5,33,41.5,13,1,4,#N/A,6,,,#NAT fp vote extrapolated
2002-11-12,Westpoll,,#N/A,44,43,7,2,2,#N/A,2,,,
2002-11-15,Newspoll,,#N/A,38,35,10,1,4,#N/A,12,56,24,
2002-12-01,F2F Morgan,,50,38,41,8.5,1,4,#N/A,5,,,#NAT fp vote extrapolated
2003-01-03,Westpoll,,#N/A,40,43,9,1,2,#N/A,5,,,
2003-02-01,F2F Morgan,,50,37,41,8.5,2,4,#N/A,5,,,#NAT fp vote extrapolated
2003-02-03,Westpoll,,#N/A,40,40,11,1,3,#N/A,5,,,
2003-02-15,Newspoll,,#N/A,38,36,8,1,4,#N/A,11,53,28,
2003-03-14,Westpoll,,#N/A,43,42,10,0,2,#N/A,3,,,
2003-04-01,F2F Morgan,,55.5,32,43,12,1.5,4,#N/A,5,,,#NAT fp vote extrapolated
2003-04-03,Westpoll,,#N/A,43,41,#N/A,#N/A,2,#N/A,#N/A,,,
2003-05-03,Westpoll,,#N/A,45,40,#N/A,#N/A,2,#N/A,#N/A,,,
2003-05-15,Newspoll,,#N/A,36,39,9,1,3,#N/A,10,53,26,
2003-06-01,F2F Morgan,,52,32,44,9,1,4,#N/A,5.5,,,#NAT fp vote extrapolated
2003-07-03,Westpoll,,#N/A,44,41,8,1,2,#N/A,4,,,
2003-08-01,F2F Morgan,,52.5,36.5,44.5,7,1,4,#N/A,5.5,,,#NAT fp vote extrapolated
2003-08-03,Westpoll,,#N/A,43,39,9,1,1,#N/A,7,,,
2003-08-15,Newspoll,,#N/A,40,34,8,2,2,#N/A,14,45,33,
2003-09-09,Westpoll,,#N/A,50,33,8,3,1,#N/A,5,,,
2003-10-01,F2F Morgan,,53,35,43.5,9.5,2.5,4,#N/A,5.5,,,#NAT fp vote extrapolated
2003-10-14,Westpoll,,#N/A,43,36,10,3,2,#N/A,6,,,
2003-11-15,Newspoll,,#N/A,39,35,7,2,3,#N/A,14,42,40,
2003-12-01,F2F Morgan,,53,34,40,10,3.5,4,#N/A,8.5,,,#NAT fp vote extrapolated
2004-01-15,Westpoll,,#N/A,41,42,8,1,2,#N/A,6,,,#date estimated
2004-02-01,F2F Morgan,,54.5,34,44.5,7.5,2.5,4,#N/A,7.5,,,#NAT fp vote extrapolated
2004-02-10,Westpoll,,#N/A,44,44,6,1,1,#N/A,4,,,
2004-02-15,Newspoll,,48,39,37,7,2,3,#N/A,12,46,39,
2004-03-03,Westpoll,,#N/A,41,47,5,1,2,#N/A,4,,,#date estimated
2004-04-01,F2F Morgan,,55,34.5,44,8.5,1.5,4,#N/A,7.5,,,#NAT fp vote extrapolated
2004-04-03,Westpoll,,#N/A,40,46,9,1,1,#N/A,3,,,#date estimated
2004-05-03,Westpoll,,#N/A,42,44,8,0,2,#N/A,4,,,#date estimated
2004-05-15,Newspoll,,50,39,38,7,0,3,#N/A,13,47,35,
2004-06-03,Westpoll,,#N/A,43,45,6,1,1,#N/A,4,,,#date estimated
2004-07-03,Westpoll,,#N/A,40,45,7,2,1,#N/A,5,,,#date estimated
2004-08-03,Westpoll,,50.5,45.78313253,45.78313253,3.614457831,#N/A,1.204819277,#N/A,3.614457831,,,#date estimated
2004-08-15,Newspoll,,50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,52,33,
2004-11-03,Westpoll,,#N/A,47.72727273,40.90909091,5.681818182,#N/A,2.272727273,#N/A,3.409090909,,,
2004-11-15,Newspoll,,44,46,35,7,1,3,#N/A,8,46,38,
2004-12-03,Westpoll,,#N/A,49.42528736,39.08045977,4.597701149,#N/A,2.298850575,#N/A,4.597701149,,,#date estimated
2005-01-10,Westpoll,,#N/A,45.05494505,43.95604396,5.494505495,#N/A,1.098901099,#N/A,4.395604396,,,#date estimated
2005-01-29,Newspoll,,50,44,42,6,1,4,#N/A,3,46,40,
2005-02-01,Westpoll,,49.6,45.05494505,43.95604396,5.494505495,#N/A,1.098901099,#N/A,4.395604396,,,#date estimated
2005-02-24,Newspoll,,54,35.5,45,#N/A,0.5,4,#N/A,#N/A,51,38,#NAT fp vote extrapolated
2005-04-01,F2F Morgan,,57.5,31,48,8,1.5,4,#N/A,7,,,#NAT fp vote extrapolated
2005-04-03,Westpoll,,#N/A,44.21052632,40,7.368421053,#N/A,3.157894737,#N/A,5.263157895,,,#date estimated
2005-05-03,Westpoll,,#N/A,48.38709677,37.6344086,7.52688172,#N/A,3.225806452,#N/A,3.225806452,,,
2005-06-01,F2F Morgan,,52.5,36,43.5,7,1.5,4,#N/A,7,,,#NAT fp vote extrapolated
2005-06-01,Westpoll,,#N/A,43.15789474,40,7.368421053,#N/A,3.157894737,#N/A,6.315789474,,,
2005-07-05,Westpoll,,#N/A,43.47826087,42.39130435,5.434782609,#N/A,3.260869565,#N/A,5.434782609,,,
2005-08-01,F2F Morgan,,53,35,42.5,7,2.5,4,#N/A,7.5,,,#NAT fp vote extrapolated
2005-08-02,Westpoll,,#N/A,42.55319149,39.36170213,7.446808511,#N/A,2.127659574,#N/A,8.510638298,,,
2005-09-07,Westpoll,,#N/A,42.70833333,41.66666667,6.25,#N/A,1.041666667,#N/A,8.333333333,,,
2005-10-01,F2F Morgan,,52.5,34.5,41.5,10,1,4,#N/A,7.5,,,#NAT fp vote extrapolated
2005-10-05,Westpoll,,#N/A,41.93548387,43.01075269,7.52688172,#N/A,2.150537634,#N/A,5.376344086,,,
2005-11-13,Westpoll,,#N/A,41,40,5,#N/A,2,#N/A,#N/A,,,"#NAT fp vote extrapolated, date estimated"
2005-11-15,Newspoll,,48,39,37,5,#N/A,4,#N/A,15,49,36,
2005-12-01,F2F Morgan,,54.5,34,45,9,0.5,4,#N/A,6,,,#NAT fp vote extrapolated
2005-12-06,Westpoll,,#N/A,39,39,#N/A,#N/A,2,#N/A,#N/A,,,#NAT fp vote extrapolated
2006-02-01,F2F Morgan,,56.5,33.5,49.5,6,1.5,4,#N/A,4.5,,,#NAT fp vote extrapolated
2006-02-08,Westpoll,,#N/A,37,43,5,#N/A,#N/A,#N/A,#N/A,,,#Date estimated
2006-02-15,Newspoll,,53,35,42,8,#N/A,4,#N/A,11,53,15,
2006-04-01,F2F Morgan,,54,35,45.5,5.5,1,4,#N/A,7.5,,,#NAT fp vote extrapolated
2006-04-07,Westpoll,,58,34,49,5,0,2,#N/A,4,,,#Date estimated
2006-05-02,Westpoll,,#N/A,35,44,6,1,2,#N/A,4,,,
2006-05-15,Newspoll,,52,37,42,4,#N/A,3,#N/A,14,60,16,
2006-06-01,F2F Morgan,,55.5,34,47.5,6,1,4,#N/A,5.5,,,#NAT fp vote extrapolated
2006-06-07,Westpoll,,#N/A,36,43,6,0,2,#N/A,4,,,
2006-06-15,Westpoll,,56,34,42,#N/A,#N/A,#N/A,#N/A,#N/A,,,
2006-07-15,Westpoll,,#N/A,37,44,5,#N/A,2,#N/A,6,,,#date estimated
2006-08-01,F2F Morgan,,56.5,32.5,48,7.5,0.5,4,#N/A,6,,,#NAT fp vote extrapolated
2006-08-15,Newspoll,,52,37,42,6,#N/A,3,#N/A,12,52,23,
2006-08-07,Westpoll,,#N/A,37,41,7,#N/A,0.5,#N/A,6.5,,,#date estimated
2006-09-15,Westpoll,,#N/A,34,43,5,#N/A,2,#N/A,7,,,
2006-10-01,F2F Morgan,,55,35,47,8.5,0.5,4,#N/A,4,,,#NAT fp vote extrapolated
2006-10-04,Westpoll,,#N/A,41,39,6,#N/A,2,#N/A,6,,,
2006-11-07,Westpoll,,#N/A,38,36,12,#N/A,2,#N/A,7,,,
2006-11-15,Newspoll,,49,40,38,7,#N/A,2,#N/A,13,52,30,
2006-11-09,Westpoll,,#N/A,42,33,7,#N/A,2,#N/A,8,,,#date estimated
2006-12-01,F2F Morgan,,55,35,47,6.5,0.5,#N/A,#N/A,5.5,,,#NAT fp vote extrapolated
2006-12-06,Westpoll,,52,38,40,7,#N/A,2,#N/A,7,,,
2007-01-17,Westpoll,,51.2,41,43,11,1,2,#N/A,7,,,
2007-02-15,Newspoll,,51,35,39,10,#N/A,4,#N/A,12,60,25,
2007-02-15,Westpoll,,55,38,48,8,2,2,#N/A,6,,,#date estimated
2007-03-15,Westpoll,,51.2,39,39,5,1,2,#N/A,7,,,#date estimated
2007-04-04,Westpoll,,54.5,38,41,6,1,2,#N/A,4,,,
2007-05-15,Newspoll,,54,35,44,8,#N/A,3,#N/A,10,57,25,
2007-06-07,Westpoll,,52.3,40,46,7,1,4,#N/A,2,,,
2007-07-03,Westpoll,,56.3,36,45,11,0,3,#N/A,5,,,
2007-08-15,Newspoll,,51,38,44,6,#N/A,5,#N/A,7,58,26,
2007-08-07,Westpoll,,62,27,53,9,2,4,#N/A,3,,,
2007-09-04,Westpoll,,58.4,33,49,8,1,3,#N/A,6,,,
2007-10-15,Westpoll,,56.6,36,50,#N/A,#N/A,#N/A,#N/A,5,,,#date estimated
2007-11-15,Newspoll,,49,41,40,8,#N/A,4,#N/A,7,57,26,
2007-12-15,Westpoll,,48,44,38,#N/A,#N/A,#N/A,#N/A,7,,,#date estimated
2008-01-22,Westpoll,,58,35,46,#N/A,#N/A,#N/A,#N/A,7,,,#date estimated
2008-02-15,Newspoll,,53,35,42,12,#N/A,3,#N/A,8,27,34,
2008-03-05,Westpoll,,56,38,47,#N/A,#N/A,#N/A,#N/A,#N/A,,,
2008-05-16,Newspoll,,54,31,41,16,#N/A,4,#N/A,8,53,34,
2008-05-15,Westpoll,,54,35,39,#N/A,#N/A,3,#N/A,10,,,"#date ""last week"""
2008-07-10,Westpoll,,53,36,38,9,#N/A,#N/A,#N/A,#N/A,,,#date estimated
2008-07-24,Westpoll,,49,40,41,7,1,7,#N/A,5,,,
2008-08-11,Westpoll,,50.2,42,39,9.25,0.25,4,#N/A,5.5,,,
2008-08-12,Newspoll,,51,37,42,10,#N/A,5,#N/A,6,49,40,
2008-08-28,Galaxy,,49,39,41,9,#N/A,5,#N/A,6,,,
2008-08-28,Westpoll,,54,35,42,10,#N/A,7,#N/A,6,,,
2008-09-03,Newspoll,,50,37,35,12,#N/A,6,#N/A,10,42,48,
2008-09-02,Westpoll,,51,37.7,36.8,11,0.2,4.5,#N/A,11,,,
2008-09-10,Westpoll,,47,37,31,15,#N/A,6,#N/A,#N/A,,,
2008-10-10,Westpoll,,43,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
2008-11-08,Westpoll,,44,49.3,34.8,10,#N/A,4,#N/A,2,,,
2008-12-09,Westpoll,,45,45,34,9,#N/A,5,#N/A,#N/A,,,
2009-01-15,Westpoll,,44,49,34,6,#N/A,4,#N/A,2,,,#date estimated
2009-02-15,Newspoll,,45,42,33,13,#N/A,5,#N/A,7,56,25,
2009-03-04,Westpoll,,43,49,34,7,#N/A,4,#N/A,5,,,
2009-06-09,Westpoll,,41,49,30,6,#N/A,4,#N/A,6,,,
2009-08-15,Westpoll,,,41,35,8,#N/A,3,#N/A,6,,,#date estimated
2009-10-15,Westpoll,,47,43,35,8,#N/A,4,#N/A,4,,,#date estimated
2010-01-22,Westpoll,,43,42,28,10,#N/A,3,#N/A,5,,,#date estimated
2010-02-15,Newspoll,,47,40,37,11,#N/A,5,#N/A,7,51,34,
2010-05-16,Newspoll,,46,38,32,16,#N/A,6,#N/A,8,55,33,
2010-08-16,Newspoll,,43,41,30,14,#N/A,6,#N/A,9,56,32,
2010-11-15,Newspoll,,42,43,29,13,#N/A,6,#N/A,9,55,35,
2011-02-15,Newspoll,,43,43,30,12,#N/A,6,#N/A,9,54,33,
2011-05-15,Newspoll,,43,30,43,12,#N/A,6,#N/A,9,50,37,
2011-08-16,Newspoll,,43,42,29,13,#N/A,6,#N/A,10,51,35,
2011-11-16,Newspoll,,41,46,29,12,#N/A,4,#N/A,9,58,28,
2012-01-20,Westpoll,,41,52,29,11,#N/A,2,#N/A,6,,,
2012-02-15,Newspoll,,47,39,35,11,#N/A,6,#N/A,9,51,33,
2012-05-02,Morgan Phone,,37.5,53.5,29.5,6,#N/A,3.5,#N/A,7.5,54,33.5,
2012-07-11,Westpoll,,46,47,35,8,#N/A,2,#N/A,8,,,
2012-07-28,Morgan Phone,,40,47.5,31,7,#N/A,3.5,#N/A,11,,,
2012-08-16,Newspoll,,43,43,30,12,#N/A,5,#N/A,10,48,37,
2012-11-16,Newspoll,,42,43,30,12,#N/A,6,#N/A,9,49,37,
2013-01-17,Westpoll,,41,50,30,10,#N/A,5,#N/A,5,,,
2013-02-06,Newspoll,,43,45,35,8,#N/A,6,#N/A,6,47,42,
2013-02-20,Galaxy,,44,43,35,9,#N/A,7,#N/A,6,,,
2013-03-06,Newspoll,,40.5,48,32,8,#N/A,6,#N/A,6,51,36,
2013-11-16,Newspoll,,49,36,33,13,#N/A,8,#N/A,10,34,54,
2014-05-16,Newspoll,,50,34,27,17,#N/A,6,#N/A,16,34,56,
2014-08-16,Newspoll,,50,35,31,15,#N/A,6,#N/A,13,32,56,
2014-09-28,SMS Morgan,,47.5,42.5,31.5,14,#N/A,3,4.5,4.5,,,
2014-10-26,SMS Morgan,,47,38.5,32,15,#N/A,6.5,3,5,,,
2014-11-16,Newspoll,,50,34,33,15,#N/A,8,#N/A,10,37,49,
2014-11-23,SMS Morgan,,48.5,35,30.5,15.5,#N/A,7,2,10,,,
2015-01-17,SMS Morgan,,50.5,35.5,35.5,13,#N/A,6.5,2,7.5,,,
2015-02-15,Newspoll,,52,34,35,14,#N/A,6,#N/A,11,38,53,
2015-02-15,SMS Morgan,,50,36,35,14.5,#N/A,7,1.5,6,,,
2015-03-14,SMS Morgan,,50.5,35,34,14.5,#N/A,6.5,2,8,,,
2015-04-12,SMS Morgan,,50,36.5,35.5,13.5,#N/A,6,1,7.5,,,
2015-05-16,Newspoll,,52,33,33,14,#N/A,7,#N/A,13,36,57,
2015-05-23,SMS Morgan,,51,34.5,36,14,#N/A,7.5,#N/A,8,,,
2015-06-20,SMS Morgan,,47.5,38.5,32.5,14,#N/A,7,#N/A,8,,,
2015-08-01,SMS Morgan,,51.5,35,34,17,#N/A,7,#N/A,9,,,
2015-08-30,SMS Morgan,,50,35,34,15,#N/A,7,#N/A,9,,,
2015-10-12,SMS Morgan,,48.5,37.5,32,13,#N/A,4.5,#N/A,13,,,
2015-11-15,Essential,,49,37,35,12,#N/A,6,#N/A,10,,,
2015-11-16,Newspoll2,,53,37,42,10,#N/A,5,#N/A,6,33,54,
2015-12-04,SMS Morgan,,50.5,35,34,13.5,#N/A,5,#N/A,12.5,,,
2016-01-31,SMS Morgan,,45.5,39.5,32,11.5,#N/A,7.5,#N/A,9.5,,,
2016-02-16,Essential,,48,40,34,12,#N/A,4,#N/A,10,,,
2016-03-17,ReachTEL,,56,37.3,39.4,13,#N/A,5.3,#N/A,5,,,
2016-03-26,SMS Morgan,,52,33.5,37,14.5,#N/A,8,#N/A,7,,,
2016-04-12,SMS Morgan,,50,36.5,35.5,13.5,#N/A,6,1,7.5,,,
2016-04-16,Newspoll2,,54,34,42,11,#N/A,6,#N/A,7,31,58,
2016-05-16,Essential,,51,36,39,10,#N/A,6,#N/A,9,,,
2016-05-25,SMS Morgan,,49,36.5,34,12.5,#N/A,7,#N/A,10,,,
2016-08-15,Essential,,53,34,39,11,#N/A,4,#N/A,12,,,
2016-08-16,SMS Morgan,,51,34.5,35.5,12.5,5,6.5,#N/A,6,,,
2016-09-15,ReachTEL,,51,38.2,36.5,7.7,#N/A,5.4,#N/A,12.2,,,
2016-10-16,SMS Morgan,,52.5,34,36.5,12.5,6,5,#N/A,6,,,
2016-10-27,ReachTEL,,52,35.9,36.7,7.7,#N/A,6.1,#N/A,13.6,,,
2016-11-01,Newspoll2,,52,34,41,9,#N/A,6,#N/A,10,28,61,
2016-11-15,Essential,,51,34,36,11,#N/A,6,#N/A,13,,,
2017-01-12,ReachTEL,,52,36.1,35,6.7,10.8,6,#N/A,4.5,,,
2017-01-31,Newspoll2,,54,30,38,9,13,5,#N/A,5,32,57,
2017-02-01,Essential,,#N/A,27.5,34.5,10.7,13.7,6.8,#N/A,7,,,"#""automated phone poll, conducted for the Greens"""
